Rank,Company,Vertical,Sub-vertical,Business Model,"HQ (City, State)",Other US Call Center Sites,Call Center Seats (est.),Seats Basis / Confidence,Total Employees,Annual Revenue,Revenue Basis / Confidence,# of Clients,Client List / Key Clients,Outbound Calling Evidence,TCPA Exposure Evidence (Trigger),Lead-Sourcing Posture,Litigation /30,Lead Source /25,Volume /20,Vertical /12,Geo /8,Gap /5,TCPA RISK SCORE,Risk Band,Solvency / Reputability,CiV Fit,Buying Trigger & Timing,Entry Point (Title),Opening Hook,Sources,Overall Confidence
34,Trinity Solar,Solar,Residential solar EPC,B2C direct sales,"Wall Township, NJ","NJ, NY, CT, MA, RI, MD",300-700 (est.),"Est. from inside sales share of ~2,040 staff - LOW","~2,040",~$599.8M,Aggregator estimate (Growjo) - LOW,N/A,N/A - direct to consumer,Large multi-state residential solar sales operation with inside sales/appointment setting,Structural: solar vertical has >$57M in disclosed TCPA settlements since 2018; peer Momentum settled for $30M,Purchased + self-generated leads; appointment-setting vendors,8,22,16,11,8,4,69,2 - HIGH,"Strong - family-owned, ~$600M revenue, survived the shakeout",A - solvent solar is now rare and this is the best of it,Peer settlements ($30M Momentum) + competitor bankruptcies = board-level risk attention,General Counsel / VP Sales Operations / CFO,Your two closest competitors settled for $30M or filed Chapter 11. You are the solvent one left holding the vertical's risk profile.,growjo; zoominfo; solar TCPA settlement aggregates,MEDIUM
35,Apex Service Partners,HVAC / Home Services,PE-backed HVAC/plumbing platform,B2C multi-brand rollup,"Tampa, FL",National - 100+ acquired brands,"500-1,500 (est. across brands + central CX)",Est. across rollup portfolio - LOW,"~10,000+","Not public (PE-backed, Alpine Investors)",Private - NONE,N/A,N/A - direct to consumer,"Multi-brand service platform with centralized and local outbound (maintenance renewal, membership, rebooking calls)",Structural: FL HQ (FTSA); each acquisition imports an un-audited customer list and its consent history,Inherits customer/lead lists via acquisition - consent provenance rarely diligenced,6,23,16,10,8,5,68,2 - HIGH,"Strong - Alpine Investors backed, largest US HVAC platform",A - roll-ups are the single best-fit structure for provenance tooling,Every acquisition imports unverified consent; FL domicile adds FTSA; PE exit diligence will price the liability,General Counsel / VP Integration / CFO,Every tuck-in you close imports a customer list nobody diligenced for consent. You are buying calling rights you cannot prove.,ctacquisitions HVAC PE tracker 2026; Orbital largest HVAC companies,MEDIUM on structure
36,EMPWR Solar,Solar,Residential solar,B2C direct sales,Pennsylvania nexus (E.D. Pa. venue),PA/NJ region,Unknown,Not researched - NONE,Not public,Not public,Private - NONE,N/A,N/A - direct to consumer,Defendant in TCPA action over solicitation calls,"Shelton v. EMPWR Solar, 2026 WL 2244025 (E.D. Pa. Aug 4, 2026) - court found the serial-litigator plaintiff's number was NOT on the DNC list (favorable outcome)",Unverified,15,20,10,11,7,5,68,2 - HIGH,UNVERIFIED - diligence required,B - just learned serial litigators target them,Won on the DNC-status facts - a near miss that proves list hygiene decides outcomes,Owner / VP Sales,You won because the number was not actually on the DNC list. That was record-keeping luck. Make it a control.,"Shelton v. EMPWR Solar, E.D. Pa. 8/4/2026",LOW - verify entity
37,QuoteWizard (LendingTree),Insurance,Lead marketplace,B2B lead seller,"Seattle, WA",Seattle WA; Charlotte NC (parent),150-400 (est.),Est. - LOW,Not separately disclosed,LendingTree segment - not broken out,Parent public - LOW,Carriers + agents,P&C carriers and independent agents,Sells insurance leads/calls to outbound buyers,"Structural marketplace exposure; WA HQ under Washington's amended Commercial Electronic Mail/Solicitation Act with private right of action up to $1,000/violation",Originates + resells,7,25,13,12,8,3,68,2 - HIGH,Strong - NASDAQ parent,"B - parent legal team, but unit owns the risk",Washington's strengthened mini-TCPA hits its home state operations directly,Associate GC / VP Compliance,"Washington raised statutory damages to $1,000 per violation in your own back yard.",jdsupra WA/OK mini-TCPA analysis; LendingTree disclosures,LOW-MEDIUM
38,SmartFinancial,Insurance,Lead marketplace,B2B lead seller,"Columbus, OH",Columbus OH; Newport Beach CA,100-300 (est.),Est. - LOW,~200-400,Not public,Private - NONE,Hundreds of agents/carriers,Independent agents and carriers - buyer roster via partner disclosures,Sells insurance leads and calls into buyer outbound programs,Structural: marketplace consent language binds every downstream buyer,Originates + resells to many buyers,6,25,13,12,8,4,68,2 - HIGH,Operating,"A - mid-market marketplace, compliance = differentiation",Buyers increasingly require per-buyer named consent + TrustedForm audit trail,General Counsel / VP Compliance / CEO,Post-IMC your partner list is legal again - and it is also the exact document plaintiffs subpoena first.,industry marketplace listings,LOW
39,Alorica,BPO / Outsourced,CX BPO with outbound programs,B2B outsourced,"Irvine, CA",100+ locations across 14-16 countries incl. large US footprint,"10,000+ US (est. of 100k+ global)",Est. from global footprint - LOW,"~100,000 globally",Not public,Private - NONE,Large enterprise roster; avg client tenure ~10 yrs,"Client roster not public - telecom, retail, financial services, healthcare",Processes 3B+ interactions annually including outbound programs,Structural: agent-of-client calling posture across regulated verticals,Dials client-supplied lists,5,23,19,9,8,3,67,2 - HIGH,Strong - one of largest US-headquartered BPOs,"B - large, likely has compliance function; sell as differentiation",Financial services and healthcare clients pushing TCPA indemnity downstream,Chief Compliance Officer / General Counsel,Your clients are moving TCPA indemnity into the MSA. Provenance evidence is how you price that risk instead of absorbing it.,alorica.com; helpware/outsourceaccelerator BPO rankings,MEDIUM
40,TTEC Holdings,BPO / Outsourced,CX BPO with outbound/sales programs,B2B outsourced,"Englewood, CO",Multiple US + global,"~15,000 US (est. of 61,000 global)",Est. - LOW,"~61,000",~$2.1B,Public filings - HIGH,Enterprise roster,"Client roster not public - healthcare, financial services, telecom, automotive",Operates outbound sales and acquisition programs for enterprise clients,Structural: agent-of-client calling in healthcare and financial services,Dials client-supplied lists,5,23,18,9,8,3,66,2 - HIGH,Strong - NASDAQ listed,B,Healthcare/financial services clients demanding auditable consent handling,Chief Compliance Officer / General Counsel,Regulated-vertical clients now audit how you handle consent. Being auditable is a competitive moat in BPO bids.,BPO industry rankings; public filings,MEDIUM-HIGH on financials
41,Wrench Group,HVAC / Home Services,PE-backed HVAC/plumbing platform,B2C multi-brand rollup,"Atlanta, GA",National multi-brand,"400-1,000 (est.)",Est. - LOW,"~5,000+",Not public (Leonard Green & Partners),Private - NONE,N/A,N/A - direct to consumer,Multi-brand HVAC/plumbing platform with membership renewal and rebooking call operations,Structural: acquisition-driven list inheritance; multi-state calling footprint,Inherits lists via acquisition,5,23,15,10,8,5,66,2 - HIGH,Strong - Leonard Green backed,A - roll-up structure,Continued tuck-in acquisitions; PE hold-period exit prep,General Counsel / VP Operations / CFO,Roll-ups inherit calling lists faster than they inherit calling controls.,ctacquisitions HVAC PE tracker 2026,MEDIUM on structure
42,ARS/Rescue Rooter,HVAC / Home Services,PE-backed HVAC/plumbing platform,B2C multi-brand,"Memphis, TN",70+ US locations,"500-1,200 (est.)",Est. - LOW,"~7,000+",Not public (GI Partners / American Securities),Private - NONE,N/A,N/A - direct to consumer,National HVAC/plumbing service network with centralized call center and membership renewal calling,Structural: national multi-state calling; membership renewal campaigns to legacy customer lists,Legacy customer lists + purchased leads,5,21,16,10,8,5,65,2 - HIGH,"Strong - PE backed, national scale",A,Membership renewal campaigns dial legacy lists whose consent predates current rules,General Counsel / VP Customer Operations,Membership renewal calls to a legacy list are the most common unexamined TCPA exposure in home services.,ctacquisitions HVAC PE tracker 2026; Orbital,MEDIUM on structure
43,"Farha Roofing, LLC",HVAC / Home Services,Roofing,B2C direct sales,"Wichita, KS",KS/MO region,20-60 (est.),Est. - LOW,~100-250,Not public,Private - NONE,N/A,N/A - direct to consumer,Sent non-emergency advertising/marketing texts to consumer cell phones,"$250,000 TCPA class settlement - texts without consent and without required sender identification",Self-generated + purchased local leads,20,16,8,10,6,5,65,2 - HIGH,Operating - small regional,C - too small for enterprise pricing; useful as a proof-point case study,Recent settlement; small firms rebuild process after paying,Owner / Marketing Director,A $250K settlement for missing sender ID in a text. The fix costs a fraction of that.,claimdepot Farha Roofing settlement,MEDIUM on settlement
44,Palmetto Solar,Solar,Residential solar platform,B2C + partner network,"Charleston, SC",Remote-first + partner network,200-500 (est.),Est. - LOW,"~1,000",Not public,Private - NONE,Installer/partner network,Partner installer network (LightReach platform),Platform + partner sales model with outbound customer acquisition,Structural: solar vertical risk; partner-channel calling exposure,Partner-sourced leads with variable consent capture,6,22,13,11,8,4,64,3 - ELEVATED,Operating - one of the surviving platforms,A - platform model means one fix protects many partners,Post-shakeout consolidation; platform players inherit partners from failed competitors along with their lead files,General Counsel / VP Partner Operations,You are absorbing partners from collapsed dealer networks - and their lead files. Inherited leads are inherited liability.,industry coverage of solar consolidation,LOW
45,Service Experts Heating & Air,HVAC / Home Services,PE-backed HVAC platform,B2C multi-brand,"Plano, TX",~90 US/Canada centers,400-900 (est.),Est. - LOW,"~4,000+",Not public (Brookfield / Morgan Stanley Capital Partners),Private - NONE,N/A,N/A - direct to consumer,Multi-location HVAC service network with maintenance agreement renewal calling,Structural: TX HQ (TX telemarketing registration + bond required); multi-state renewal calling,Legacy lists + purchased leads,5,21,15,10,8,5,64,3 - ELEVATED,Strong - institutional ownership,A,Texas requires telemarketer registration and bond; multi-state renewal campaigns,General Counsel / VP Operations,Ninety locations dialing renewals under thirty different state registration regimes.,ctacquisitions HVAC PE tracker 2026,MEDIUM on structure
46,Sila Services,HVAC / Home Services,PE-backed HVAC platform,B2C multi-brand rollup,"Newtown Square, PA",Northeast/Mid-Atlantic multi-brand,200-600 (est.),Est. - LOW,"~3,000+",Not public (Goldman Sachs Alternatives),Private - NONE,N/A,N/A - direct to consumer,Regional multi-brand HVAC platform with service renewal calling,Structural: acquisition-driven list inheritance; MD/PA footprint includes a mini-TCPA state,Inherits lists via acquisition,5,22,14,10,8,5,64,3 - ELEVATED,Strong - Goldman Sachs Alternatives backed,A,Active tuck-in acquirer; Maryland mini-TCPA in its service footprint,General Counsel / VP Integration,Goldman will diligence this at exit. Better to build the record now than reconstruct it under a data request.,ctacquisitions HVAC PE tracker 2026,MEDIUM on structure
47,TurnPoint Services,HVAC / Home Services,PE-backed HVAC platform,B2C multi-brand rollup,"Louisville, KY",National multi-brand,200-600 (est.),Est. - LOW,"~3,000+",Not public (OMERS),Private - NONE,N/A,N/A - direct to consumer,Multi-brand home services platform with centralized customer contact operations,Structural: acquisition-driven list inheritance across multiple states,Inherits lists via acquisition,5,22,14,10,8,5,64,3 - ELEVATED,Strong - OMERS (pension fund) backed,A - institutional owner means institutional risk appetite,Pension-fund ownership means low tolerance for contingent consumer-protection liability,General Counsel / CFO,A pension fund owns you. Contingent statutory-damages exposure is exactly what their risk committee screens.,ctacquisitions HVAC PE tracker 2026,MEDIUM on structure
48,IBEX Limited,BPO / Outsourced,CX BPO with outbound programs,B2B outsourced,"Washington, DC",US + nearshore/offshore,"3,000-6,000 US (est.)",Est. - LOW,"~30,000",~$500M+,Public filings - MEDIUM,Enterprise roster,"Client roster not public - telecom, retail, fintech, healthcare",Outbound sales and retention programs for clients,Structural: agent-of-client calling posture,Dials client-supplied lists,4,22,16,9,8,4,63,3 - ELEVATED,Strong - NASDAQ listed,B,Client MSAs adding TCPA audit rights,General Counsel / VP Compliance,Every outbound program you run for a client is a claim they will tender to you first.,BPO industry rankings; public filings,MEDIUM
